hex_id,y_mean_kcal_ha,count,proj_x,proj_y,lon,lat
13358.0,8044375040.0,517.0,1019888.3640791649,6429977.666529257,14.51024615175962,55.43298175456676
13359.0,7704301056.0,1855.0,1019888.3640791649,6579977.666529257,14.877547077037711,56.9432291651551
13360.0,7432001536.0,1855.0,1019888.3640791649,6729977.666529257,15.283756839893492,58.47611418632196
13361.0,6116011520.0,1855.0,1019888.3640791649,6879977.666529257,15.73556088998074,60.033697477422855
13362.0,3524445952.0,1699.0,1019888.3640791649,7029977.666529257,16.241385942993794,61.61835783770042
13363.0,1925888128.0,1856.0,1019888.3640791649,7179977.666529257,16.812027948085532,63.232870661644824
13364.0,328090528.0,1894.0,1019888.3640791649,7329977.666529257,17.46158085636493,64.88051384498735
13365.0,3458237.0,1856.0,1019888.3640791649,7479977.666529257,18.208852685671232,66.56521411863552
13366.0,0.0,1855.0,1019888.3640791649,7629977.666529257,19.079602875389266,68.29175483522656
13367.0,0.0,1019.0,1019888.3640791649,7779977.666529257,20.1102302665738,70.06608072272088
13370.0,0.0,2.0,1019888.3640791649,8229977.666529257,24.863796345102415,75.7645933738765
13371.0,0.0,19.0,1019888.3640791649,8379977.666529257,27.504667934931582,77.83686071478601
13430.0,7171375104.0,196.0,1193093.4448360526,-845022.3334707431,11.95700252664393,-6.840498397018953
13431.0,8939939840.0,647.0,1193093.4448360526,-695022.3334707431,11.939914345863214,-5.6245798745168525
13432.0,8482495488.0,1303.0,1193093.4448360526,-545022.3334707431,11.926208054121293,-4.4096339444561385
13433.0,8025894400.0,1858.0,1193093.4448360526,-395022.33347074315,11.915849077873037,-3.1954486157507778
13434.0,6992055808.0,1856.0,1193093.4448360526,-245022.33347074315,11.908811427165663,-1.9818134161899492
13435.0,8394650624.0,1894.0,1193093.4448360526,-95022.33347074315,11.90507751363224,-0.7685189674619494
13436.0,8369948160.0,1856.0,1193093.4448360526,54977.66652925685,11.904638028037514,0.4446434331448178
13437.0,8573847552.0,1857.0,1193093.4448360526,204977.66652925685,11.907491875699183,1.6578822269355897
13438.0,9212679168.0,1856.0,1193093.4448360526,354977.66652925685,11.913646168904716,2.871406006418387
13439.0,9387096064.0,1858.0,1193093.4448360526,504977.66652925685,11.923116276220458,4.0854239288294645
13440.0,9814703104.0,1856.0,1193093.4448360526,654977.6665292569,11.935925929364549,5.300146133087403
